FLD_MATCODIGO;FLD_MATNOMBRE;TIPO;FECHA;MMP;StockSeguridad;PtoReorden;StockMaximo;StockMinimo;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/12/2016 0:00:00.000;23236,67;792,90;31354,73;54591,40;23236,67;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/12/2016 0:00:00.000;34340;3248,00;48914,75;83254,75;34340;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/12/2016 0:00:00.000;15600;822,27;23912,30;39512,30;15600;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/12/2016 0:00:00.000;28799,13;342,86;38331,49;67130,63;28799,13;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/12/2016 0:00:00.000;28026,67;273,76;37151,70;65178,36;28026,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/12/2016 0:00:00.000;24310;1935,13;36165,19;60475,19;24310;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/12/2016 0:00:00.000;147170;4185,27;204583,48;351753,48;147170;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/12/2016 0:00:00.000;48106,67;1898,51;63054,76;111161,42;48106,67;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/12/2016 0:00:00.000;21723,33;1644,03;28507,10;50230,43;21723,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/12/2016 0:00:00.000;27725;656,15;36489,31;64214,31;27725;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/12/2016 0:00:00.000;23636,90;732,30;32215,85;55852,75;23636,90;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/12/2016 0:00:00.000;39820;1842,89;57974,10;97794,10;39820;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/12/2016 0:00:00.000;20506;1207,23;28234,15;48740,15;20506;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/12/2016 0:00:00.000;80871,93;650,20;107663,16;188535,09;80871,93;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/12/2016 0:00:00.000;134330;3303,52;182695,25;317025,25;134330;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/12/2016 0:00:00.000;49944,87;1965,24;66350,31;116295,17;49944,87;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/12/2016 0:00:00.000;30591,33;454,76;42070,35;72661,68;30591,33;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/01/2017 0:00:00.000;34588,67;995,59;47900,50;82489,17;34588,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/01/2017 0:00:00.000;15360;259,22;20294,37;35654,37;15360;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/01/2017 0:00:00.000;38774,57;554,42;52019,45;90794,02;38774,57;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/01/2017 0:00:00.000;32553,33;3187,53;47214,98;79768,31;32553,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/01/2017 0:00:00.000;13033,33;641,50;19280,70;32314,03;13033,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/01/2017 0:00:00.000;29249,53;208,98;38971,70;68221,23;29249,53;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/01/2017 0:00:00.000;28100;143,50;37636,78;65736,78;28100;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/01/2017 0:00:00.000;25945;1004,29;37918,19;63863,19;25945;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/01/2017 0:00:00.000;148470;3238,96;206555,39;355025,39;148470;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/01/2017 0:00:00.000;49936,67;2633,41;65567,35;115504,02;49936,67;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/01/2017 0:00:00.000;21272,33;1745,24;29760,76;51033,10;21272,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/01/2017 0:00:00.000;28782,67;653,99;37871,30;66653,97;28782,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/01/2017 0:00:00.000;23923,37;470,17;32224,33;56147,70;23923,37;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/01/2017 0:00:00.000;39530;1254,37;56658,60;96188,60;39530;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/01/2017 0:00:00.000;21840;1345,95;29240,82;51080,82;21840;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/01/2017 0:00:00.000;80382;1839,16;109622,28;190004,28;80382;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/01/2017 0:00:00.000;137456,67;2218,90;183016,75;320473,42;137456,67;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/01/2017 0:00:00.000;49422,93;1718,35;66998,49;116421,43;49422,93;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/01/2017 0:00:00.000;33428;553,14;44240,46;77668,46;33428;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/01/2017 0:00:00.000;23321,67;612,25;31259,66;54581,33;23321,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/02/2017 0:00:00.000;16900;639,76;22955,61;39855,61;16900;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/02/2017 0:00:00.000;38575,57;751,58;53286,45;91862,01;38575,57;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/02/2017 0:00:00.000;28666,67;3938,98;47843,76;76510,42;28666,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/02/2017 0:00:00.000;10966,67;1204,24;19098,12;30064,78;10966,67;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/02/2017 0:00:00.000;29009,13;269,16;39739,90;68749,03;29009,13;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/02/2017 0:00:00.000;27976,67;276,81;38401,17;66377,84;27976,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/02/2017 0:00:00.000;26271,67;1389,03;38975,24;65246,90;26271,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/02/2017 0:00:00.000;143866,67;3671,75;206469,49;350336,16;143866,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/02/2017 0:00:00.000;50840;1808,63;67206,46;118046,46;50840;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/02/2017 0:00:00.000;20702,33;1461,62;29659,45;50361,78;20702,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/02/2017 0:00:00.000;29061;313,53;38527,33;67588,33;29061;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/02/2017 0:00:00.000;23635,57;404,67;32183,60;55819,16;23635,57;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/02/2017 0:00:00.000;37693,33;1620,20;54039,99;91733,32;37693,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/02/2017 0:00:00.000;20661,67;1111,37;29853,76;50515,43;20661,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/02/2017 0:00:00.000;79520,40;2565,03;113106,19;192626,59;79520,40;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/02/2017 0:00:00.000;136950;1112,49;186546,72;323496,72;136950;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/02/2017 0:00:00.000;50314,93;1384,97;68132,86;118447,79;50314,93;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/02/2017 0:00:00.000;34804,33;1290,63;46995,10;81799,44;34804,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/02/2017 0:00:00.000;23015,17;1045,37;32202,07;55217,24;23015,17;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/02/2017 0:00:00.000;32451,33;1674,46;49285,09;81736,42;32451,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/03/2017 0:00:00.000;22705,40;771,15;31538,73;54244,13;22705,40;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/03/2017 0:00:00.000;33697,33;1278,93;48585,78;82283,12;33697,33;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/03/2017 0:00:00.000;17306,67;651,67;22708,59;40015,25;17306,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/03/2017 0:00:00.000;38212,70;527,87;52413,10;90625,80;38212,70;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/03/2017 0:00:00.000;27273,33;3773,16;45336,83;72610,16;27273,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/03/2017 0:00:00.000;10166,67;1239,11;18155,64;28322,31;10166,67;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/03/2017 0:00:00.000;29336,07;101,72;39169,84;68505,91;29336,07;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/03/2017 0:00:00.000;28136,67;160,08;37586,35;65723,02;28136,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/03/2017 0:00:00.000;26618,33;1866,50;39574,18;66192,51;26618,33;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/03/2017 0:00:00.000;148306,67;3778,07;209144,92;357451,59;148306,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/03/2017 0:00:00.000;52916,67;1876,86;69507,93;122424,60;52916,67;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/03/2017 0:00:00.000;21529;786,69;30501,37;52030,37;21529;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/03/2017 0:00:00.000;30173,67;635,93;39768,17;69941,83;30173,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/03/2017 0:00:00.000;22588,63;694,86;32354,64;54943,27;22588,63;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/03/2017 0:00:00.000;34380;1816,17;50596,68;84976,68;34380;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/03/2017 0:00:00.000;21566,67;985,54;30423,91;51990,58;21566,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/03/2017 0:00:00.000;80654,83;609,95;108022,31;188677,14;80654,83;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/03/2017 0:00:00.000;136676,67;2038,07;188729,48;325406,15;136676,67;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/03/2017 0:00:00.000;53836,57;2138,51;70800,65;124637,22;53836,57;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/03/2017 0:00:00.000;37928,67;1967,31;50852,72;88781,39;37928,67;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/04/2017 0:00:00.000;23648,83;259,46;32271,44;55920,27;23648,83;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/04/2017 0:00:00.000;34978;999,62;48304,93;83282,93;34978;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/04/2017 0:00:00.000;17733,33;580,66;23346,98;41080,31;17733,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/04/2017 0:00:00.000;38963,83;255,49;52864,23;91828,07;38963,83;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/04/2017 0:00:00.000;24633,33;3817,10;44164,89;68798,22;24633,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/04/2017 0:00:00.000;10633,33;891,43;17581,97;28215,31;10633,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/04/2017 0:00:00.000;29394,80;137,86;39347,91;68742,71;29394,80;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/04/2017 0:00:00.000;28106,67;143,33;37658,72;65765,38;28106,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/04/2017 0:00:00.000;30880;1666,02;42771,15;73651,15;30880;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/04/2017 0:00:00.000;151186,67;3170,28;210686,52;361873,19;151186,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/04/2017 0:00:00.000;55236,67;2570,79;72797,35;128034,02;55236,67;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/04/2017 0:00:00.000;19648;1197,04;31067,35;50715,35;19648;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/04/2017 0:00:00.000;30525;462,82;40339,21;70864,21;30525;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/04/2017 0:00:00.000;22998,80;414,43;32338,03;55336,83;22998,80;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/04/2017 0:00:00.000;35060;1294,36;50869,03;85929,03;35060;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/04/2017 0:00:00.000;21843,33;1002,46;30876,28;52719,61;21843,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/04/2017 0:00:00.000;79366,77;1672,63;110662,40;190029,17;79366,77;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/04/2017 0:00:00.000;133903,33;1585,48;184082,71;317986,04;133903,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/04/2017 0:00:00.000;53389,97;1889,59;71738,83;125128,80;53389,97;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/04/2017 0:00:00.000;37896,33;1196,81;49735,85;87632,18;37896,33;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/05/2017 0:00:00.000;20396,67;4472,09;45078,94;65475,61;20396,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/05/2017 0:00:00.000;11033,33;1108,14;17828,44;28861,77;11033,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/05/2017 0:00:00.000;28953,73;189,29;39101,00;68054,74;28953,73;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/05/2017 0:00:00.000;28246,67;213,02;38007,04;66253,71;28246,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/05/2017 0:00:00.000;31533,33;1994,72;43569,07;75102,40;31533,33;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/05/2017 0:00:00.000;153836,67;4381,15;211140,01;364976,68;153836,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/05/2017 0:00:00.000;55786,67;1912,67;73600,35;129387,02;55786,67;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/05/2017 0:00:00.000;19761,33;1167,33;30790,54;50551,88;19761,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/05/2017 0:00:00.000;31320,67;579,43;41391,61;72712,28;31320,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/05/2017 0:00:00.000;23218,80;366,59;32346,32;55565,12;23218,80;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/05/2017 0:00:00.000;34310;1824,22;53054,40;87364,40;34310;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/05/2017 0:00:00.000;21965;1092,84;31692,08;53657,08;21965;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/05/2017 0:00:00.000;78941,43;2566,11;112381,98;191323,41;78941,43;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/05/2017 0:00:00.000;138643,33;814,12;185009,97;323653,31;138643,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/05/2017 0:00:00.000;54912,63;1240,12;74376,08;129288,71;54912,63;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/05/2017 0:00:00.000;40078;1884,51;52513,89;92591,89;40078;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/05/2017 0:00:00.000;23735,33;768,94;34025,98;57761,31;23735,33;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/05/2017 0:00:00.000;35494,67;1721,00;49610,76;85105,42;35494,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/05/2017 0:00:00.000;18783,33;819,32;24440,77;43224,11;18783,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/05/2017 0:00:00.000;38031;738,81;53398,36;91429,36;38031;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/06/2017 0:00:00.000;38871,40;537,48;53230,62;92102,02;38871,40;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/06/2017 0:00:00.000;20673,33;4087,16;43588,26;64261,59;20673,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/06/2017 0:00:00.000;11333,33;1196,02;17751,20;29084,54;11333,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/06/2017 0:00:00.000;29235,47;92,14;39212,04;68447,50;29235,47;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/06/2017 0:00:00.000;28566,67;134,12;38187,96;66754,63;28566,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/06/2017 0:00:00.000;30670;2165,31;43028,32;73698,32;30670;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/06/2017 0:00:00.000;149580;3483,40;205825,39;355405,39;149580;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/06/2017 0:00:00.000;54220,80;1439,43;72731,28;126952,08;54220,80;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/06/2017 0:00:00.000;19654,67;919,92;29915,64;49570,31;19654,67;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/06/2017 0:00:00.000;31091,33;523,28;41270,07;72361,41;31091,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/06/2017 0:00:00.000;23500,20;737,83;33029,97;56530,17;23500,20;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/06/2017 0:00:00.000;34766,67;1749,71;51964,80;86731,46;34766,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/06/2017 0:00:00.000;21570;919,84;31184,39;52754,39;21570;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/06/2017 0:00:00.000;78955,40;659,60;107922,79;186878,19;78955,40;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/06/2017 0:00:00.000;143386,67;2582,46;191883,28;335269,94;143386,67;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/06/2017 0:00:00.000;57089,60;470,23;75767,89;132857,49;57089,60;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/06/2017 0:00:00.000;41180;2084,94;54570,16;95750,16;41180;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/06/2017 0:00:00.000;23621,50;622,86;33174,95;56796,45;23621,50;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/06/2017 0:00:00.000;35898,67;1391,94;49654,48;85553,15;35898,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/06/2017 0:00:00.000;19824,67;828,50;25795,92;45620,59;19824,67;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/07/2017 0:00:00.000;31519;318,53;41820,01;73339,01;31519;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/07/2017 0:00:00.000;23323,20;359,59;31914,77;55237,97;23323,20;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/07/2017 0:00:00.000;34626,67;1299,34;50510,57;85137,24;34626,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/07/2017 0:00:00.000;22143,33;839,84;32163,51;54306,85;22143,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/07/2017 0:00:00.000;79800,27;1675,52;110796,62;190596,88;79800,27;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/07/2017 0:00:00.000;148010;4151,20;198082,82;346092,82;148010;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/07/2017 0:00:00.000;58843,67;1594,99;79290,63;138134,30;58843,67;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/07/2017 0:00:00.000;40034,67;1084,30;52865,76;92900,43;40034,67;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/07/2017 0:00:00.000;23317,17;270,23;31946,99;55264,15;23317,17;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/07/2017 0:00:00.000;20291,33;797,30;26466,66;46757,99;20291,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/07/2017 0:00:00.000;39414,37;252,42;52843,93;92258,30;39414,37;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/07/2017 0:00:00.000;19740;4042,74;41237,18;60977,18;19740;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/07/2017 0:00:00.000;11933,33;908,13;17720,63;29653,96;11933,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/07/2017 0:00:00.000;29525,33;95,53;39623,63;69148,96;29525,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/07/2017 0:00:00.000;28093,33;111,76;37817,73;65911,07;28093,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/07/2017 0:00:00.000;30980;1664,66;42657,80;73637,80;30980;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/07/2017 0:00:00.000;150230;2232,19;202949,78;353179,78;150230;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/07/2017 0:00:00.000;53123,33;2358,31;73913,43;127036,77;53123,33;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/07/2017 0:00:00.000;18040,33;643,40;26387,16;44427,50;18040,33;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/07/2017 0:00:00.000;36181,33;955,88;47959,42;84140,76;36181,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/08/2017 0:00:00.000;31390;499,59;42026,54;73416,54;31390;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/08/2017 0:00:00.000;23852,37;359,53;32299,66;56152,03;23852,37;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/08/2017 0:00:00.000;34976,67;1032,13;48480,80;83457,47;34976,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/08/2017 0:00:00.000;21665;683,19;28717,26;50382,26;21665;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/08/2017 0:00:00.000;77969,60;2511,41;110199,38;188168,98;77969,60;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/08/2017 0:00:00.000;153783,33;3972,75;203655,04;357438,37;153783,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/08/2017 0:00:00.000;59373,67;1683,30;79116,33;138490,00;59373,67;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/08/2017 0:00:00.000;43123,33;1818,21;56800,05;99923,38;43123,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/08/2017 0:00:00.000;24782,83;547,51;32863,40;57646,23;24782,83;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/08/2017 0:00:00.000;37263,33;1629,95;48844,97;86108,31;37263,33;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/08/2017 0:00:00.000;21344,67;755,07;27919,20;49263,87;21344,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/08/2017 0:00:00.000;40349,07;821,57;53810,15;94159,22;40349,07;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/08/2017 0:00:00.000;15420;2365,24;28413,75;43833,75;15420;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/08/2017 0:00:00.000;12500;1090,74;17688,61;30188,61;12500;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/08/2017 0:00:00.000;29583,80;227,49;39299,57;68883,37;29583,80;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/08/2017 0:00:00.000;28376,67;187,02;37786,36;66163,02;28376,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/08/2017 0:00:00.000;32463,33;1942,11;42826,71;75290,04;32463,33;   
